place_id,preferred_name_en,preferred_name_fa,place_type,parent_place_id,notes
L0001,Hamadan,همدان,province/city,,
L0002,Kabudarahang,کبودرآهنگ,county/town,L0001,Important property center of the Amir Nezam Letgahi family.
L0003,Letgah,لتگاه,village,L0001,Primary center of the Amir Nezam Letgahi family; part of Lalejin district.
L0004,Lalejin,لالجین,district/town,L0001,
L0005,Khuzestan,خوزستان,province,,
L0006,Herat,هرات,city/region,,Location of Mohammad Shah’s Herat campaign.
L0007,Bushehr,بوشهر,port/city,,Persian Gulf port attacked by British forces in 1255 AH.
L0008,Mashhad,مشهد,city,,Burial place of Nabi Khan and other Gharagozloo casualties by order of Mohammad Shah.
L0009,Bandar Lengeh,بندر لنگه,port/city,,
L0010,Dalaki,دالکی,town/river area,,
L0011,Kerman,کرمان,province/city,,
L0012,Laristan,لارستان,region,,
L0013,Bikhuh district,محال بیخو,district,,
L0014,Kermanshah,کرمانشاه,province/city,,
