title_id,title_en,title_fa,meaning_notes
T0001,E'temad al-Saltaneh,اعتمادالسلطنه,
T0002,Sa'ed al-Saltaneh,ساعدالسلطنه,
T0003,Sardar Akram,سردار اکرم,
T0004,Haji Amir Nezam,حاجی امیرنظام,
T0005,Ejlal al-Mamalek,اجلال‌الممالک,
T0006,Amir Arfa',امیر ارفع,
T0007,Amir Tuman,امیرتومان,A high Qajar military rank/title.
T0008,Ejlal al-Dowleh,اجلال‌الدوله,
T0009,Sartip,سرتیپ,"Qajar military rank, commonly translated as brigadier/general officer."
T0010,Yavar,یاور,Qajar military officer rank.
T0011,Sarhang,سرهنگ,Colonel; Qajar military rank.
T0012,Mirpanj,میرپنج,Qajar military rank
T0013,Nosrat al-Molk,نصرت‌الملک,
T0014,Hosam al-Molk,حسام‌الملک,
T0015,Ehtesham al-Saltaneh,احتشام‌السلطنه,
