claim_id,subject_type,subject_id,predicate,object_text,confidence,status,notes
C0001,person,P0004,lineage,Son of Mostafa Qoli Khan E'temad al-Saltaneh; grandson of Mohammad Baqer Khan; great-grandson of Haji Mohammad Khan Jeyhunabadi.,confirmed,active,Published lineage statement.
C0002,person,P0005,parentage,Mohtaj Ali Khan was a son of Abdollah Khan.,confirmed,active,
C0003,person,P0006,parentage,Mansur Ali Khan was a son of Abdollah Khan.,confirmed,active,
C0004,person,P0005,titles,Held the titles Ejlal al-Mamalek and Amir Arfa'.,confirmed,active,
C0005,person,P0006,titles,Held the title Sardar Akram.,confirmed,active,
C0006,place,L0003,family_center,Letgah was the principal center of the Amir Nezam Letgahi family.,confirmed,active,
C0007,place,L0002,property_association,Kabudarahang was one of the family's important landed areas.,confirmed,active,
C0008,person,P0008,parentage,Gholamhossein Khan descends from Mohtaj Ali Khan and is not a child of Gholam Ali.,confirmed,active,Confirmed by user correction.
C0009,person,P0006,descendants,The book's figure shows no descendants for Mansur Ali Khan.,confirmed,active,Visual reading confirmed by user.
C0010,person,P0012,parentage,Hossein Qoli Khan was a son of Abdollah Khan.,confirmed,active,
C0011,person,P0012,titles,He was described as Ejlal al-Dowleh and Amir Tuman.,confirmed,active,
C0012,person,P0012,title_grant,He received Sa'ed al-Saltaneh at his father's request.,confirmed,active,
C0013,person,P0005,title_grant,Mohtaj Ali Khan received Ejlal al-Mamalek at his father's request.,confirmed,active,
C0014,person,P0004,office,Abdollah Khan was appointed governor of Khuzestan and titled Sardar Akram.,confirmed,active,
C0015,person,P0005,source_coverage,S0001 explicitly indexes Mohtaj Ali Khan on printed pages 61 and 152.,confirmed,active,Source-coverage finding only.
C0016,person,P0013,parentage,Nabi Khan was a son of Mohammad Hossein Khan Gharagozloo.,confirmed,active,
C0017,person,P0013,military_role,Nabi Khan commanded thousands of Gharagozloo troops in Mohammad Shah’s Herat campaign.,confirmed,active,
C0018,person,P0015,military_role,"Abdollah Khan, holding the rank of yavar, supported Nabi Khan’s forces in the Herat campaign.",confirmed,active,Kept separate from P0004 pending identity resolution.
C0019,person,P0015,promotion,"After being wounded at Herat, Abdollah Khan received the rank of sarhang.",confirmed,active,
C0020,person,P0016,combat_action,Shir Ali Khan repeatedly climbed the fortress wall and attempted to plant the victory flag.,confirmed,active,
C0021,person,P0016,reward,Shir Ali Khan received a robe of honor and decoration for bravery.,confirmed,active,
C0022,person,P0017,wounding,"Rashid Khan, a colonel of the Mokhberan regiment, was wounded in the leg during the Herat fighting.",confirmed,active,
C0023,person,P0013,death,Nabi Khan died shortly after being removed from the battlefield with severe wounds.,confirmed,active,
C0024,person,P0013,burial,Nabi Khan was transferred with other Gharagozloo dead for burial in Mashhad by order of Mohammad Shah.,confirmed,active,
C0025,person,P0014,parentage,Mahmoud Khan was the son of Nabi Khan and a descendant of Mohammad Hossein Khan Ashiqloo.,confirmed,active,
C0026,event,E0003,force_strength,The Gharagozloo guard defending Bushehr numbered fifty soldiers.,confirmed,active,
C0027,event,E0003,outcome,British forces dispersed the small Gharagozloo guard and occupied Bushehr to pressure Iran over Herat.,confirmed,active,
C0028,event,E0002,unit_action,Gharagozloo troops helped assault the Herat fortifications and open the fortress gates.,confirmed,active,
C0029,person,P0014,political_position,Mahmoud Khan Gharagozloo argued for peace in a state consultation during the Anglo-Persian crisis.,probable,active,Identity with P0014 is contextually likely but should be rechecked.
C0030,person,P0003,military_action,"At Bandar Lengeh, Mostafa Qoli Khan Mirpanj tried to prevent a British ship carrying prisoners from departing; he exchanged fire with two guns and withdrew inland.",confirmed,active,
C0031,person,P0018,military_action,Rustam Khan joined the southern Iranian forces with artillery during the Anglo-Persian War.,confirmed,active,
C0032,person,P0019,wounding,Ali Khan received a superficial wound to the arm during fighting against British forces.,confirmed,active,
C0033,event,E0004,captives,Two soldiers of the Gharagozloo special regiment and one of the fourth regiment were captured and later released in Bushehr.,confirmed,active,
C0034,person,P0020,military_action,Ali Naqi Khan led the Dargazin infantry regiment and defeated Nasrallah Khan of Laristan in Bikhuh district.,confirmed,active,
C0035,person,P0019,office,Ali Khan Nosrat al-Molk served as first-rank sartip responsible for order in Kerman in 1277 AH.,confirmed,active,
C0036,person,P0019,military_activity,Ali Khan and his troops drilled daily in the Kerman citadel square and joined the expedition against Azad Khan Kharani.,confirmed,active,
C0037,person,P0022,title_grant,"Mohammad Hossein Khan, son of Ali Khan, received the title Hosam al-Molk in 1287 AH for service in Kerman.",confirmed,active,
C0038,person,P0023,marriage_arrangement,Zeyn al-Abedin Khan arranged the marriage of his son Gholamreza Khan to Qamar al-Saltaneh in 1309 AH.,confirmed,active,
C0039,event,E0007,scale,The wedding celebrations lasted about one month and reportedly cost more than one hundred thousand tomans.,confirmed,active,
C0040,event,E0008,outcome,"Hosam al-Molk, Saed al-Saltaneh, and Zia al-Molk were dismissed and detained after being blamed for the Hamadan unrest.",confirmed,active,
