conflict_id,entity_type,entity_id,conflict_topic,statement_a,statement_b,resolution_status,notes
CF001,person,P0040,children,An earlier Chapter 2 regimental reading was interpreted as calling Mehdi Khan a son of Naser al-Molk.,"Figure 3 and explicit later prose place Mehdi Khan as a son of Ahmad Khan Sartip and Negar Khanom, and call Naser al-Molk his brother.",resolved,Resolved for canonical genealogy in favor of Figure 3 + explicit later prose. Retain the old reading as extraction history.
CF002,person,P0024,title form,Marriage-period narrative uses Ehtesham al-Saltaneh.,Later narrative and documentary caption use Ehtesham al-Dowleh.,partially_resolved,Both forms remain attached to P0024; chronology of formal title change remains open.
CF003,artifact,A0003,portrait identity,"Caption identifies Hossein Khan Hesam al-Molk I, father of Amir Afkham.",Canonical narrative person is Mohammad-Hossein Khan Hesam al-Molk P0022.,unresolved,"Probable identity, but exact name form must be verified from a better scan or another source."
CF004,person,P0098,parentage,Figure 4 places Haji Mina Khan among the five sons of Haji Abdollah Khan.,The Chapter 2 prose can be read as naming Haji Mina Khan among the sons of Haji Mohammad Jafar Khan.,unresolved,"The canonical graph currently follows Figure 4 with a disputed edge. Do not upgrade this parentage until the prose/diagram discrepancy is resolved. Majmooe Asaar (S0200) independently supports placement of Haji Mina in the Haji Abdollah line; this is new corroborating evidence for the current canonical placement, while the conflicting wording remains preserved."
CF005,person,P0096,immediate children of Haji Fazlollah Khan,"The user-supplied reconstruction of Figure 4 shows four immediate children: Mohammad Hassan Khan, Ali Khan, Hossein Ali Khan, and Abdolhossein Khan Farkhari.","The family-history summary in Majmooe Asaar appears to name three sons and uses a different formulation, including Haji Mohammad Hossein.",resolved,Resolved in favor of the archive owner’s verified PowerPoint connector reconstruction. The corrected canonical graph contains four immediate children of Haji Fazlollah and the exact later-generation connections implemented in migration 0028.
CF006,person,P0031,parentage in Figure 3 versus prose,Figure 3 visually places Amanollah Khan Baha al-Molk beneath Mahmoud Khan.,Explicit prose identifies Amanollah as a son of Nabi Khan and brother of Mahmoud Khan.,partially_resolved,Canonical genealogy follows the explicit prose: Nabi → Amanollah. Preserve the Figure 3 discrepancy for comparison with future sources.
CF007,person,P0028,male children,Figure 3 positively shows Mohammad Shafi Khan and Abdolhossein Khan as sons of Abdollah Khan Sarem al-Dowleh.,The prose says Abdollah probably had no male children because the author found no sons in the consulted sources; it explicitly identifies daughter Negar Khanom.,unresolved,Retain Mohammad Shafi and Abdolhossein as disputed Figure-3 children and Negar as prose-confirmed. Future sources may resolve the conflict.
CF008,person,P0065,parentage wording,A Chapter 2 military passage was previously read as making Abdol Ali Khan the son of Mehdi Khan.,"Figure 3 and explicit later prose place Mehdi Khan and Abdol Ali Khan as brothers, sons of Ahmad Sartip and Negar Khanom.",partially_resolved,Canonical genealogy follows Figure 3 + explicit later prose; retain the military wording as a source ambiguity.
CF009,person,P0023,omitted generation in Figure 3,Figure 3 compresses the Rostam line visually from Ali Khan Nosrat al-Molk toward Zeyn al-Abedin.,Explicit prose inserts Mohammad-Hossein Khan Hesam al-Molk between Ali Khan Nosrat al-Molk and Zeyn al-Abedin.,resolved,Classified as diagram compression/omission rather than contradictory parentage. Canonical genealogy retains the prose-added generation.
CF010,person,P0095,number_and_identity_of_Haji_Abdollah_branch_heads,"Canonical v2.8.0 genealogy currently represents five branch heads under Haji Abdollah: Haji Fazlollah, Nasrollah, Haji Safar, Haji Mina and Haji Mohammad Khan Jeyhunabadi.",Majmooe Asaar explicitly enumerates Haji Fathollah as a sixth son of Haji Abdollah Beg and gives three named children for him.,unresolved,Preserve both. No canonical topology change in migration 0034. Haji Fathollah is strong source evidence and should be reconsidered in a later topology reconciliation.
CF011,person,P0001,Haji_Mohammad_Khan_Jeyhunabadi_child_list,"Canonical v2.8.0 represents five direct children: Mohammad Baqer, Zolfaghar, Haji Yavar Mohammad Gholi, Haji Hamze and Kazem.","Majmooe Asaar lists six sons: Mohammad Baqer, Haji Hamze, Haji Ali Mohammad, Mehdi Khan Sartip, Zolfaghar and Mohammad Qoli.",unresolved,"Possible overlap exists between Mohammad Qoli and Haji Yavar Mohammad Gholi, but it is not proven. Kazem may simply be omitted from the source list. Preserve as an alternate family tradition pending person-by-person reconciliation."
